 ,Label,Area,Perim.,Circ.,AR,Round,Solidity
1,blobs.gif,425,90.42641,0.65314,2.06670,0.48386,0.88542
2,blobs.gif,181,55.21320,0.74611,1.77749,0.56259,0.94517
3,blobs.gif,656,96.52691,0.88474,1.06472,0.93921,0.96970
4,blobs.gif,430,79.11270,0.86335,1.06156,0.94201,0.95662
5,blobs.gif,477,86.04163,0.80968,1.56805,0.63773,0.96657
6,blobs.gif,276,60.52691,0.94672,1.11738,0.89495,0.94845
7,blobs.gif,70,29.79899,0.99061,1.13553,0.88065,0.90909
8,blobs.gif,265,61.35534,0.88461,1.38821,0.72035,0.93146
9,blobs.gif,220,54.52691,0.92985,1.12587,0.88820,0.92827
10,blobs.gif,26,26.48528,0.46577,3.84899,0.25981,0.86667
11,blobs.gif,492,82.08326,0.91763,1.07144,0.93333,0.94798
12,blobs.gif,650,96.91169,0.86970,1.33339,0.74997,0.95308
13,blobs.gif,220,54.52691,0.92985,1.13619,0.88013,0.93418
14,blobs.gif,88,34.38478,0.93532,1.22406,0.81695,0.92147
15,blobs.gif,441,77.84062,0.91461,1.20597,0.82920,0.94635
16,blobs.gif,391,85.49747,0.67217,2.45579,0.40720,0.90614
17,blobs.gif,511,83.25483,0.92643,1.17220,0.85310,0.95514
18,blobs.gif,417,76.42641,0.89714,1.43396,0.69737,0.94989
19,blobs.gif,257,59.11270,0.92423,1.33803,0.74737,0.95009
20,blobs.gif,347,68.76955,0.92203,1.16649,0.85727,0.94166
21,blobs.gif,148,44.87006,0.92376,1.18725,0.84228,0.92500
22,blobs.gif,403,73.59798,0.93494,1.08942,0.91792,0.95047
23,blobs.gif,413,84.42641,0.72812,1.80288,0.55467,0.87686
24,blobs.gif,252,58.52691,0.92448,1.14850,0.87070,0.93680
25,blobs.gif,500,87.94113,0.81245,1.66888,0.59921,0.96525
26,blobs.gif,277,61.11270,0.93202,1.12438,0.88938,0.94863
27,blobs.gif,667,102.08326,0.80432,1.48078,0.67532,0.92897
28,blobs.gif,171,53.21320,0.75887,1.75976,0.56826,0.94475
29,blobs.gif,352,68.76955,0.93532,1.21557,0.82266,0.95135
30,blobs.gif,533,86.08326,0.90386,1.20789,0.82789,0.95179
31,blobs.gif,598,109.63961,0.62514,2.74660,0.36409,0.85429
32,blobs.gif,629,103.39697,0.73934,1.93744,0.51614,0.89474
33,blobs.gif,182,49.69848,0.92597,1.15164,0.86833,0.92386
34,blobs.gif,583,88.66905,0.93182,1.08956,0.91780,0.95574
35,blobs.gif,14,13.89949,0.91063,1.31046,0.76309,0.84848
36,blobs.gif,263,59.69848,0.92734,1.26047,0.79335,0.94946
37,blobs.gif,886,129.98276,0.65898,2.51057,0.39832,0.91199
38,blobs.gif,469,87.25483,0.77411,1.72164,0.58084,0.94177
39,blobs.gif,231,55.94113,0.92760,1.18693,0.84251,0.93333
40,blobs.gif,157,46.28427,0.92096,1.26314,0.79168,0.92082
41,blobs.gif,403,75.01219,0.90002,1.36989,0.72998,0.94824
42,blobs.gif,404,73.59798,0.93726,1.24846,0.80099,0.95735
43,blobs.gif,234,55.69848,0.94785,1.13093,0.88423,0.94545
44,blobs.gif,368,70.76955,0.92335,1.27705,0.78305,0.95213
45,blobs.gif,642,93.25483,0.92769,1.11644,0.89570,0.96396
46,blobs.gif,369,70.18377,0.94138,1.13980,0.87735,0.95226
47,blobs.gif,566,87.84062,0.92180,1.04905,0.95325,0.95689
48,blobs.gif,63,36.14214,0.60607,2.94685,0.33935,0.92647
49,blobs.gif,156,45.69848,0.93871,1.26978,0.78754,0.92308
50,blobs.gif,460,86.66905,0.76955,2.01700,0.49579,0.93401
51,blobs.gif,600,91.39697,0.90260,1.34527,0.74334,0.95087
52,blobs.gif,535,86.08326,0.90725,1.31821,0.75860,0.95280
53,blobs.gif,202,62.87006,0.64220,2.22498,0.44944,0.93519
54,blobs.gif,541,84.66905,0.94833,1.06895,0.93549,0.96007
55,blobs.gif,848,112.91169,0.83585,1.55261,0.64408,0.95227
56,blobs.gif,268,60.52691,0.91928,1.30449,0.76658,0.94533
57,blobs.gif,206,52.52691,0.93824,1.27810,0.78241,0.93213
58,blobs.gif,84,45.55635,0.50862,3.84539,0.26005,0.93855
59,blobs.gif,74,39.55635,0.59430,3.31582,0.30158,0.93671
60,blobs.gif,48,31.55635,0.60573,2.82144,0.35443,0.88889
61,blobs.gif,45,32.72792,0.52794,4.13762,0.24168,0.88235
